addr,name
1001a55f,FUN_1001a55f
1001a60f,FUN_1001a60f
1001a63b,FUN_1001a63b
1001a67e,FUN_1001a67e
1001a786,FUN_1001a786
1001a828,FUN_1001a828
1001a831,___acrt_stdio_free_buffer_nolock
1001a871,FUN_1001a871
1001a8c7,___acrt_lowio_create_handle_array
1001a942,___acrt_lowio_destroy_handle_array
1001a977,___acrt_lowio_ensure_fh_exists
1001aa0c,FUN_1001aa0c
1001aa15,FUN_1001aa15
1001aa38,___acrt_lowio_unlock_fh
1001aa5b,FUN_1001aa5b
1001aaec,FUN_1001aaec
1001ab56,___acrt_GetStringTypeW
1001ab6f,FUN_1001ab6f
1001ac1f,FUN_1001ac1f
1001accc,FUN_1001accc
1001ad82,FUN_1001ad82
1001ae38,___acrt_fenv_get_common_round_control
1001ae5a,___acrt_fenv_get_control
1001aeda,FUN_1001aeda
1001af84,FUN_1001af84
1001afff,FUN_1001afff
1001b100,_qsort
1001b5ee,FUN_1001b5ee
1001b6a5,FUN_1001b6a5
1001b6b0,_strpbrk
1001b6f0,__mbsdec
1001b707,__mbsdec_l
1001b794,FUN_1001b794
1001b982,___acrt_LCMapStringA
1001b9d0,FUN_1001b9d0
1001b9df,FID_conflict:__msize_base
1001ba12,__realloc_base
1001ba7b,FID_conflict:GetTableIndexFromLocaleName
1001bacb,___acrt_DownlevelLocaleNameToLCID
1001baf7,FUN_1001baf7
1001bb8d,FUN_1001bb8d
1001bb99,__commit
1001bc16,FUN_1001bc16
1001bfe8,write_double_translated_unicode_nolock
1001c050,FUN_1001c050
1001c0ce,write_text_ansi_nolock
1001c1a9,write_text_utf16le_nolock
1001c292,write_text_utf8_nolock
1001c3c4,FUN_1001c3c4
1001c48c,FUN_1001c48c
1001c4cc,FUN_1001c4cc
1001c6cc,__controlfp_s
1001c72b,fegetenv
1001c748,fesetenv
1001c793,FUN_1001c793
1001c7e0,FUN_1001c7e0
1001c838,FUN_1001c838
1001c8f0,FUN_1001c8f0
1001ca0d,FUN_1001ca0d
1001ca21,FUN_1001ca21
1001ca43,FUN_1001ca43
1001cc01,FUN_1001cc01
1001cc90,FUN_1001cc90
1001cc98,FUN_1001cc98
1001cd26,FUN_1001cd26
1001cd56,FUN_1001cd56
1001cdd9,FUN_1001cdd9
1001cdf7,FUN_1001cdf7
1001cdfd,___strncnt
1001ce19,__putwch_nolock
1001ce4b,___hw_cw_sse2
1001cef2,__clearfp
1001cfd0,__control87
1001d2d1,__hw_cw
1001d370,FUN_1001d370
1001d380,FUN_1001d380
1001d39e,FUN_1001d39e
1001d630,__fFEXP
1001d760,FUN_1001d760
1001d76d,FUN_1001d76d
1001d934,FUN_1001d934
1001d95a,FUN_1001d95a
1001d970,FUN_1001d970
1001d980,FUN_1001d980
1001daac,FUN_1001daac
1001db08,FUN_1001db08
1001db2b,__math_exit
1001dc10,FUN_1001dc10
1001dc27,__startOneArgErrorHandling
1001dc63,___libm_error_support
1001df0c,FUN_1001df0c
1001df91,FUN_1001df91
1001df9d,FUN_1001df9d
1001e040,FUN_1001e040
1001e0e0,__acrt_stdio_free_stream
1001e120,___ascii_strnicmp
1001e181,__dcrt_lowio_initialize_console_output
1001e1a0,___dcrt_lowio_ensure_console_output_initialized
1001e1c0,FID_conflict:___dcrt_terminate_console_output
1001e1d7,___dcrt_write_console
1001e22c,___set_fpsr_sse2
1001e2ac,__clrfp
1001e2bd,__ctrlfp
1001e2e7,FUN_1001e2e7
1001e340,__statfp
1001e350,FUN_1001e350
1001e3b8,FUN_1001e3b8
1001e4e3,__87except
1001e5ed,__frnd
1001e601,__errcode
1001e635,__except1
1001e703,FUN_1001e703
1001e97c,__raise_exc
1001e99f,__raise_exc_ex
1001ec95,__set_errno_from_matherr
1001ecc4,FUN_1001ecc4
1001ed64,FUN_1001ed64
1001ee36,__set_exp
1001ee63,__sptype
1001eec1,__fpclass
1001ef70,__FindPESection
1001efc0,__IsNonwritableInCurrentImage
1001f080,__ValidateImageBase
1001f0c0,FUN_1001f0c0
1001f0e3,__EH_epilog3
